"JURISDICTION","YEAR","Sum(FINES)"
"ACT",2010,58705
"ACT",2011,56719
"ACT",2012,54201
"ACT",2013,51948
"ACT",2014,45120
"ACT",2015,50640
"ACT",2016,55750
"ACT",2017,52913
"ACT",2018,66449
"ACT",2019,59330
"ACT",2020,57612
"ACT",2021,113807
"ACT",2023,71961
"ACT",2024,68846
"NSW",2008,590408
"NSW",2009,513616
"NSW",2010,390746
"NSW",2011,389649
"NSW",2012,432586
"NSW",2013,426904
"NSW",2014,468465
"NSW",2015,486571
"NSW",2016,494676
"NSW",2017,731953
"NSW",2018,681389
"NSW",2019,658793
"NSW",2020,915316
"NSW",2021,1452620
"NSW",2022,1217596
"NSW",2023,881483
"NSW",2024,905672
"NT",2008,23865
"NT",2009,19893
"NT",2010,26775
"NT",2011,24633
"NT",2012,27730
"NT",2013,24536
"NT",2014,22871
"NT",2015,24928
"NT",2016,22239
"NT",2017,22556
"NT",2018,37452
"NT",2019,39500
"NT",2020,40921
"NT",2021,38648
"NT",2022,33642
"NT",2023,43306
"NT",2024,48055
"QLD",2008,502886
"QLD",2009,475870
"QLD",2010,440622
"QLD",2011,588714
"QLD",2012,653679
"QLD",2013,762905
"QLD",2014,1004090
"QLD",2015,1076622
"QLD",2016,659305
"QLD",2017,733717
"QLD",2018,1021423
"QLD",2019,1041780
"QLD",2020,910858
"QLD",2021,978926
"QLD",2022,849399
"QLD",2023,860626
"QLD",2024,794883
"SA",2008,119500
"SA",2009,107676
"SA",2010,91335
"SA",2011,61859
"SA",2012,54773
"SA",2013,74391
"SA",2014,100562
"SA",2015,85282
"SA",2016,182856
"SA",2017,162804
"SA",2018,174731
"SA",2019,202914
"SA",2020,175237
"SA",2021,202693
"SA",2022,186196
"SA",2023,203602
"SA",2024,184581
"TAS",2008,59962
"TAS",2009,67768
"TAS",2010,37376
"TAS",2011,24427
"TAS",2012,7410
"TAS",2013,7517
"TAS",2014,9250
"TAS",2015,15220
"TAS",2016,15977
"TAS",2017,13095
"TAS",2018,8609
"TAS",2019,6738
"TAS",2020,40751
"TAS",2021,39228
"TAS",2022,42737
"TAS",2023,65040
"TAS",2024,74993
"VIC",2008,1114036
"VIC",2009,1136590
"VIC",2010,1172460
"VIC",2011,1151555
"VIC",2012,1185037
"VIC",2013,1015986
"VIC",2014,1307924
"VIC",2015,1306201
"VIC",2016,1266642
"VIC",2017,1220180
"VIC",2018,1600565
"VIC",2019,1004679
"VIC",2020,937192
"VIC",2021,1231672
"VIC",2022,1378231
"VIC",2023,1302628
"VIC",2024,773470
"WA",2008,228822
"WA",2009,254858
"WA",2010,300344
"WA",2011,558552
"WA",2012,588746
"WA",2013,543491
"WA",2014,711518
"WA",2015,752276
"WA",2016,567954
"WA",2017,754183
"WA",2018,689198
"WA",2019,682996
"WA",2020,695586
"WA",2021,809544
"WA",2022,843541
"WA",2023,807487
"WA",2024,472833
