"DETECTION_METHOD","YEAR","Sum(FINES)"
"Average speed camera",2023,26810
"Average speed camera",2024,10541
"Fixed camera",2023,1519849
"Fixed camera",2024,1229541
"Fixed or mobile camera",2008,2639479
"Fixed or mobile camera",2009,2576271
"Fixed or mobile camera",2010,2518363
"Fixed or mobile camera",2011,2856108
"Fixed or mobile camera",2012,3004162
"Fixed or mobile camera",2013,2907678
"Fixed or mobile camera",2014,3669800
"Fixed or mobile camera",2015,3797740
"Fixed or mobile camera",2016,3265399
"Fixed or mobile camera",2017,3329649
"Fixed or mobile camera",2018,3755720
"Fixed or mobile camera",2019,3210890
"Fixed or mobile camera",2020,3290365
"Fixed or mobile camera",2021,4457782
"Fixed or mobile camera",2022,4060444
"Fixed or mobile camera",2023,45406
"Fixed or mobile camera",2024,54911
"Mobile camera",2023,1685230
"Mobile camera",2024,1180460
"Other",2023,4
"Other",2024,1
"Police issued",2017,361752
"Police issued",2018,524096
"Police issued",2019,485840
"Police issued",2020,483108
"Police issued",2021,409356
"Police issued",2022,490898
"Police issued",2023,543699
"Police issued",2024,544087
"Red light camera",2023,415135
"Red light camera",2024,303791
"Unknown",2023,0
"Unknown",2024,1
